route_id,direction_id,canonical_trip_id,route_short_name,route_long_name,stop_id,stop_name,route_stop_order,stop_lat,stop_lon,elevation_m,snapped_distance_m
1,0,11947824_M11,1,CALIFORNIA,3837,California St & 22nd Ave,41,37.78402809754,-122.48179112118,40.3396492,13.910845702313214
1,0,11947824_M11,1,CALIFORNIA,3839,California St & 25th Ave,42,37.7838821829,-122.48501093516,42.201725006,18.39606960939937
1,0,11947824_M11,1,CALIFORNIA,3841,California St & 28th Ave,43,37.78373722574,-122.48821761213,46.380931854,14.31607670976046
1,0,11947824_M11,1,CALIFORNIA,3843,California St & 30th Ave,44,37.78364002124,-122.4903643749,53.689342499,13.507874563080057
1,0,11947824_M11,1,CALIFORNIA,3547,32nd Ave & California St,45,37.7835427952,-122.49251009418,61.393463135,13.20330258709433
1,0,11947824_M11,1,CALIFORNIA,3549,32nd Ave & Clement St,46,37.78167659432,-122.49237522901,60.641399384,14.614392053105249
1,0,11947824_M11,1,CALIFORNIA,3550,32nd Ave & Geary Blvd,47,37.77974679734,-122.49223243492,69.297439575,22.09001812102858
1,0,11947824_M11,1,CALIFORNIA,4277,Geary Blvd & 33rd Ave,48,37.7796884192,-122.4932971889,72.998153687,17.079699055355416
1,1,11948009_M11,1,CALIFORNIA,4277,Geary Blvd & 33rd Ave,1,37.7796884192,-122.4932971889,72.998153687,17.079699055355416
1,1,11948009_M11,1,CALIFORNIA,3555,33rd Ave & Clement St,2,37.78162717047,-122.4934464808,65.953521729,12.906857572728985
1,1,11948009_M11,1,CALIFORNIA,3548,32nd Ave & Clement St,3,37.78167659432,-122.49237522901,60.641399384,35.581177184977456
1,1,11948009_M11,1,CALIFORNIA,3546,32nd Ave & California St,4,37.7835427952,-122.49251009418,61.393463135,15.009881753776629
1,1,11948009_M11,1,CALIFORNIA,3844,California St & 30th Ave,5,37.78364002124,-122.4903643749,53.689342499,25.332702147757935
1,1,11948009_M11,1,CALIFORNIA,3842,California St & 28th Ave,6,37.78373722574,-122.48821761213,46.380931854,22.726550415237995
1,1,11948009_M11,1,CALIFORNIA,3840,California St & 25th Ave,7,37.7838821829,-122.48501093516,42.201725006,25.54148150405012
1,1,11948009_M11,1,CALIFORNIA,3838,California St & 22nd Ave,8,37.78402809754,-122.48179112118,40.3396492,13.18916725856188
1,1,11948009_M11,1,CALIFORNIA,3836,California St & 19th Ave,9,37.78417407111,-122.47857891301,40.957572937,13.603768270481146
1,1,11948009_M11,1,CALIFORNIA,3834,California St & 16th Ave,10,37.78431933846,-122.47537082914,41.82087326,13.611492436013584
1,1,11948009_M11,1,CALIFORNIA,3887,California St & Park Presidio Blvd,11,37.78444892268,-122.47258596455,44.598396301,18.21731164394048
1,1,11948009_M11,1,CALIFORNIA,3832,California St & 12th Ave,12,37.78452437454,-122.47098164294,45.49036026,13.227757052153237
1,1,11948009_M11,1,CALIFORNIA,3830,California St & 10th Ave,13,37.78462087068,-122.4688396655,50.34646225,13.33552894288602
1,1,11948009_M11,1,CALIFORNIA,3827,California St & 8th Ave,14,37.78471545785,-122.46669451792,53.037471771,14.892353506980385
1,1,11948009_M11,1,CALIFORNIA,3825,California St & 6th Ave,15,37.78499394458,-122.46457222897,53.69625473,15.779401799812844
1,1,11948009_M11,1,CALIFORNIA,3823,California St & 4th Ave,16,37.78526621613,-122.46244145401,56.051391602,23.260402474304033
1,1,11948009_M11,1,CALIFORNIA,3846,California St & Arguello Blvd,17,37.78568169854,-122.45917882262,61.987304688,12.802269712153596
1,1,11948009_M11,1,CALIFORNIA,3853,California St & Cherry St,18,37.78600000105,-122.45668510344,68.870178223,31.426893400153627
1,1,11948009_M11,1,CALIFORNIA,3897,California St & Spruce St,19,37.7864177844,-122.45340655064,76.289855957,12.642229419725693
1,1,11948009_M11,1,CALIFORNIA,3876,California St & Laurel St,20,37.78683755879,-122.45011832414,84.159156799,12.817237369605364
1,1,11948009_M11,1,CALIFORNIA,3893,California St & Presidio Ave,21,37.78726170247,-122.44679279568,77.97644043,13.343259542185075
